x,ear
1,0.3271399516188836
2,0.29802975758999317
3,0.328629536098359
4,0.30961611879399253
5,0.35754559008686465
6,0.3822569447144727
7,0.30999606606473207
8,0.33770960561593255
9,0.2660760420950957
10,0.2382138115254657
11,0.36759217476417116
12,0.35468775545718456
13,0.1275731379032877
14,0.14982211600591175
15,0.23713370427718686
16,0.2791323649430549
17,0.3702029234733552
18,0.4172588610303265
19,0.3950719028178603
20,0.48131864433041244
21,0.25046902754579714
22,0.26183055740917854
23,0.22840335310768303
24,0.24408602836472032
25,0.32290186539452276
26,0.35429242208077416
27,0.37978414146692313
28,0.42808634473904467
29,0.3527886192227128
30,0.3480196067831393
31,0.3300039365023743
32,0.3278092557866833
33,0.3927005137706111
34,0.39389633461186846
35,0.3603376728109717
36,0.3404786930062755
37,0.2719219758869585
38,0.35003089446932106
39,0.3496418006375328
40,0.37882204775878664
41,0.2738726594223164
42,0.28013267190946706
43,0.23489361001185805
44,0.2308850531956417
45,0.2662954863624368
46,0.29121588932479703
47,0.3389240256783137
48,0.35766620892206213
49,0.2675909906398288
50,0.26589726863219815
51,0.3023255813953488
52,0.2952055893497947
53,0.3258262696735417
54,0.29708061234516825
55,0.28400616454719124
56,0.2984742194699502
57,0.409920915807547
58,0.409920915807547
59,0.3682566754559761
60,0.3496418006375328
61,0.38979554865622057
62,0.3280362955964495
63,0.3146360977924322
64,0.25334128199029754
65,0.2080144509685279
66,0.20665663434878623
67,0.3555063794361406
68,0.3495681600542237
69,0.21543203511014272
70,0.19754591932991794
71,0.342564850114282
72,0.37904273954553763
73,0.22430303232870105
74,0.22971967961313075
75,0.28958149517537957
76,0.2703095484297741
77,0.4594598187953141
78,0.3687111099107481
79,0.29865247846273274
80,0.2858229758646576
81,0.3475268884127196
82,0.39160604757956463
83,0.23492270607780322
84,0.22027745863741474
85,0.3225170020987338
86,0.30512793070354155
87,0.31342087597060536
88,0.3246115944680111
89,0.33399079616806104
90,0.30662640716665324
91,0.18965892063849793
92,0.19964096909315573
93,0.3451796697588326
94,0.34082153100928175
95,0.2655264381899874
96,0.2544518452533944
97,0.32113302080468314
98,0.32265530254978425
99,0.2536857024815635
100,0.2522504434907451
101,0.19590527632988514
102,0.23852207234014097
103,0.29942473580817114
104,0.19146343573896135
105,0.2336824951347944
106,0.2832553219924299
107,0.24002386656559505
108,0.2616812706568056
111,0.45437229131762186
112,0.38232557830627184
113,0.28280992828247226
114,0.30367060062429097
115,0.37414421976510087
116,0.3913206206087532
117,0.2679985157046388
118,0.27607881518711636
119,0.34416021114963335
120,0.3063768764027735
121,0.16923136720036794
122,0.2102138417049081
123,0.3297795020109644
124,0.2734996091388341
125,0.23632972368637983
126,0.28361918058648283
127,0.2360709486552679
128,0.22904355265467125
129,0.26100458485665606
130,0.268675984231994
131,0.21374114996372895
132,0.23281875544683409
133,0.2829685042142044
134,0.25174137233703237
135,0.245938854365985
136,0.2665983914921885
137,0.3094335540708458
138,0.29409887677862756
139,0.1949166368208945